,date,which_day,holidays,year
0,1 styczeń,poniedziałek,Nowy Rok,2018
1,6 styczeń,sobota,Święto Trzech Króli,2018
2,1 kwiecień,niedziela,Wielkanoc,2018
3,2 kwiecień,poniedziałek,Poniedziałek Wielkanocny,2018
4,1 maj,wtorek,Święto Pracy,2018
5,3 maj,czwartek,Święto Konstytucji 3 Maja,2018
6,20 maj,niedziela,Zielone Świątki,2018
7,31 maj,czwartek,Boże Ciało,2018
8,15 sierpień,środa,Wniebowzięcie Najświętszej Maryi Panny,2018
9,1 listopad,czwartek,Wszystkich Świętych,2018
10,11 listopad,niedziela,Święto Niepodległości,2018
11,25 grudzień,wtorek,Pierwszy dzień Bożego Narodzenia,2018
12,26 grudzień,środa,Drugi dzień Bożego Narodzenia,2018
0,1 styczeń,wtorek,Nowy Rok,2019
1,6 styczeń,niedziela,Święto Trzech Króli,2019
2,21 kwiecień,niedziela,Wielkanoc,2019
3,22 kwiecień,poniedziałek,Poniedziałek Wielkanocny,2019
4,1 maj,środa,Święto Pracy,2019
5,3 maj,piątek,Święto Konstytucji 3 Maja,2019
6,9 czerwiec,niedziela,Zielone Świątki,2019
7,20 czerwiec,czwartek,Boże Ciało,2019
8,15 sierpień,czwartek,Wniebowzięcie Najświętszej Maryi Panny,2019
9,1 listopad,piątek,Wszystkich Świętych,2019
10,11 listopad,poniedziałek,Święto Niepodległości,2019
11,25 grudzień,środa,Pierwszy dzień Bożego Narodzenia,2019
12,26 grudzień,czwartek,Drugi dzień Bożego Narodzenia,2019
